Date;OR FP Equity;DG FP Equity;TTE FP Equity;AI FP Equity;DSY FP Equity;CS FP Equity;ERF FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;AC FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;URW FP Equity;ACA FP Equity;RI FP Equity;STMPA FP Equity
27/01/2023;378.45;105.04;58.62;134.7818;33.69;28.635;65.68;62.03;49.525;173;17.515;54.19;29.86;166.15;9.906;801;28.91;557.7;64.46;38.205;132.2;121.3;253.9;1697.5;12.996;9.546;29.44;30.25;27.71;89.55;26.6;147.88;116.62;82.96;59.48;10.956;184.2;43.69
03/02/2023;384.4;105.34;56.35;132.1091;38.505;28.62;71.16;61.72;50.74;189;17.46;55.53;31.09;178.65;9.9;829.4;30.375;598.6;75.02;39.01;132.4;118.95;269;1778;13.096;9.591;28.61;30.79;28.06;85.14;27.835;154.84;117.12;84.84;62.34;11.26;194.3;46.11
10/02/2023;375.6;105.08;59.35;129.3818;37.01;28.425;67.48;63.59;50.17;183.1;16.295;52.45;29.49;168.7;9.78;797.6;29.31;559.5;74.08;40.895;129.98;122;267.7;1675;13.206;9.688;27.08;30.51;27.7;88.7;26.25;150.02;113.74;85.8;59.83;11.564;186.6;44.93
17/02/2023;384.6;109.54;58.66;135.8364;37.445;28.325;67.92;65.43;52.09;186;18.15;54.52;30.05;174.6;9.88;818.4;30.335;590;75.58;42.21;136.86;129.7;255.5;1747;13.5;10.714;28.26;31.77;28.45;89.1;27.86;156.26;125.66;89.52;60.55;11.75;194.95;45.905
24/02/2023;372.95;105.64;58.19;134.3091;36.91;28.41;67.5;63.89;53.77;175.95;18.26;55.93;31.73;164.75;9.706;777.3;29.4;553.8;75.36;40.575;133.3;133.55;250.1;1677.5;14.02;10.882;27.86;32.12;28.34;89.91;26.39;149;121.94;86.22;58.29;11.35;198.15;44.61
03/03/2023;379.85;108.68;59.01;136.6909;37.065;29.89;62.76;64.26;53.82;180.75;18.11;58.22;30.99;163.75;9.86;815.1;29.71;577.4;77.58;43.125;135.22;132.8;250.3;1735.5;13.862;10.746;30.41;32.61;28.35;89.18;26.925;154.88;124.16;89.12;58.63;11.422;201.2;45.305
10/03/2023;373.8;108.24;58.04;135.3273;36.245;29.405;63.42;60.25;55.01;176.65;18.42;55.63;30.75;159.6;9.534;802.6;28.91;573.6;74.52;40.515;133.44;132.2;227.5;1720;14.102;10.876;28.49;32.24;27.49;89.55;25.525;152.32;121.62;86.12;55.36;11.02;200.1;46.26
17/03/2023;380.25;103.46;53.14;133.8364;37.615;25.97;61.34;51.68;54.46;167.15;17.305;51.11;28.58;159.75;8.834;787.3;27.16;547.1;70.14;35.365;128.38;127.5;222.7;1730;13.432;10.57;25;31.17;26.4;89.8;21.2;146.08;116.74;84.78;51.96;9.99;199.05;45.42
24/03/2023;398.05;101.36;51.81;136;37.2;26.635;60.44;50.47;56.27;165.7;17.49;49.3;28.08;162.1;9.136;813.4;26.955;580.5;68.66;35.45;133.3;135.1;209.1;1787;13.574;10.678;26.02;30.32;26.14;97.1;19.9;142.3;117.4;80.62;46.64;9.941;207.7;45.405
31/03/2023;411.25;105.72;54.36;140.1818;37.875;28.165;61.64;55.21;57.31;170.75;18.63;52.32;29.97;166;9.3;844.4;28.145;600;71.78;37.6;136.54;136.35;221.7;1864;14.574;10.952;27.87;31.09;28.4;100.24;20.785;153.68;123.28;84.08;49.385;10.398;208.7;48.955
